,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,23.445,13.5417,,,,,,,,,,,,12.2807,301000.0,,,,,,51.7857,13.0,10.0,76.923,1.0,6.0,75.0,
8,2008,21.5311,9.375,,,,,,,,,,,,12.2807,336000.0,,,,,,51.7857,13.0,10.0,76.923,1.0,6.0,75.0,
9,2009,24.8804,16.6667,,,,,,,,,,,,12.2807,350000.0,,,,,,51.7857,13.0,10.0,76.923,1.0,6.0,75.0,
10,2010,28.7081,16.6667,,,,,,,,,,,,21.0526,378000.0,,,,,,57.1429,12.0,10.0,83.333,1.0,6.0,75.0,
11,2011,25.3589,16.6667,,,,,,,,,,,,14.0351,466000.0,,,,,,51.7857,12.0,10.0,83.333,1.0,6.0,75.0,
12,2012,29.1866,16.6667,,,,,,,,,,,,22.807,523000.0,,,,,,57.1429,12.0,9.0,75.0,1.0,6.0,75.0,0.087
13,2013,30.622,19.7917,,,,,,,,,,,,22.807,539000.0,,,,,,57.1429,12.0,9.0,75.0,1.0,7.0,75.0,0.071
14,2014,43.0622,43.75,90.682,,,2937.12,,3954.05,,,,,,22.807,537000.0,,,,,,62.5,13.0,9.0,69.231,1.0,6.0,75.0,0.114
15,2015,40.1914,40.625,,,,3053.33,,4124.66,3169.0,,,,,22.807,505000.0,,,,,,57.1429,14.0,11.0,78.571,1.0,10.0,75.0,
16,2016,40.1914,40.625,,,,2162.74,,3637.24,3062.0,,,,,22.807,90000.0,,,,,,57.1429,12.0,11.0,91.667,1.0,8.0,75.0,
17,2017,45.4545,48.9583,97.204,,,458.744,,1557.86,3869.2,,,,,22.807,60000.0,,,,,,62.5,10.0,9.0,90.0,1.0,5.0,75.0,
18,2018,48.8038,52.0833,43.098,,,203.486,,512.56,2133.4,,146.522,,,35.0877,34000.0,50.0,36.0,,,55.6,57.1429,11.0,10.0,90.909,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,34000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
