,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.2231,,,,,,,,,,,,,8.7719,3200.0,,,,,,48.2143,7.0,4.0,57.142,3.0,14.0,75.0,
8,2008,13.2231,,,,,,,,,,,,,8.7719,3200.0,,,,,,48.2143,7.0,5.0,71.43,3.0,6.0,96.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,2700.0,,,,,,51.7857,7.0,5.0,71.43,3.0,7.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,2750.0,,,,,,51.7857,7.0,5.0,71.43,3.0,5.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,2510.0,,,,,,51.7857,7.0,5.0,71.43,3.0,6.0,75.0,
12,2012,14.0496,,,,,,,,,,,,,8.7719,2544.0,,,,,,51.7857,7.0,5.0,71.429,3.0,6.0,75.0,
13,2013,16.5289,,,,,,,,,,,,,19.2982,2583.0,,,,,,51.7857,8.0,6.0,75.0,3.0,8.0,75.0,
14,2014,15.2893,,,,,,,,,,,,,14.0351,6800.0,,,,,,51.7857,9.0,7.0,77.778,3.0,12.0,75.0,
15,2015,15.2893,,,,,,,,,,,,,14.0351,7000.0,,,,,,51.7857,9.0,7.0,77.778,3.0,7.0,75.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,6500.0,,,,,,51.7857,8.0,7.0,87.5,3.0,10.0,75.0,
17,2017,15.2893,,,,,,,,,,,,,14.0351,7000.0,,,,,,51.7857,8.0,7.0,87.5,3.0,7.0,75.0,
18,2018,15.2893,,,,,,,,,,,,,14.0351,7400.0,,,,,,51.7857,8.0,7.0,87.5,3.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,8200.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
