,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,13.5965,,,,,,,,,,,,,3.3333,10102.0,,,,,,51.7857,10.0,8.0,80.0,3.0,10.0,75.0,
6,2006,13.5965,,,,,,,,,,,,,3.3333,10618.0,,,,,,51.7857,10.0,8.0,80.0,3.0,6.0,75.0,
7,2007,13.5965,,,,,,,,,,,,,3.3333,10933.0,,,,,,51.7857,10.0,8.0,80.0,3.0,6.0,75.0,
8,2008,13.5965,,,,,,,,,,,,,3.3333,11011.0,,,,,,51.7857,10.0,8.0,80.0,3.0,10.0,75.0,
9,2009,13.5965,,,,,,,,,,,,,3.3333,10529.0,,,,,,51.7857,10.0,8.0,80.0,3.0,11.0,75.0,
10,2010,14.473700000000001,,,,,,,,,,,,,3.3333,10524.0,,,,,,55.3571,10.0,8.0,80.0,3.0,12.0,75.0,
11,2011,14.473700000000001,,,,,,,,,,,,,3.3333,10606.0,,,,,,55.3571,10.0,8.0,80.0,1.0,12.0,75.0,
12,2012,14.473700000000001,,,,,,,,,,,,,3.3333,10368.0,,,,,,55.3571,10.0,8.0,80.0,1.0,11.0,75.0,
13,2013,15.7895,,,,,,,,,,,,,8.3333,10452.0,,,,,,55.3571,10.0,8.0,80.0,1.0,17.0,75.0,
14,2014,15.7895,,,,,,,,,,,,,8.3333,10462.0,,,,,,55.3571,11.0,9.0,81.818,1.0,22.0,75.0,
15,2015,15.7895,,,,,,,,,,,,,8.3333,10200.0,,,,,,55.3571,11.0,9.0,81.818,1.0,13.0,75.0,
16,2016,15.7895,,,,,,,,,,,,,8.3333,10057.0,,,,,,55.3571,11.0,10.0,90.909,1.0,13.0,75.0,
17,2017,15.7895,,,,,,,,,,,,,8.3333,10083.0,,,,,,55.3571,10.0,9.0,90.0,1.0,11.0,75.0,
18,2018,15.7895,,,,,,,,,,,,,8.3333,10201.0,,,,,,55.3571,11.0,9.0,81.818,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
